Date,Hour,Year,Whale,Boat
9/2/21,10,2021,1,0
9/2/21,11,2021,1,1
9/2/21,12,2021,1,0
9/2/21,13,2021,1,1
9/2/21,14,2021,1,0
9/2/21,15,2021,1,0
9/2/21,16,2021,1,0
9/2/21,17,2021,1,0
9/2/21,18,2021,1,0
9/2/21,19,2021,1,0
9/2/21,20,2021,1,0
9/2/21,21,2021,1,0
9/2/21,22,2021,1,0
9/2/21,23,2021,1,0
9/3/21,0,2021,1,0
9/3/21,1,2021,1,0
9/3/21,2,2021,1,0
9/3/21,3,2021,1,0
9/3/21,4,2021,1,0
9/3/21,5,2021,1,0
9/3/21,6,2021,1,0
9/3/21,7,2021,1,0
9/3/21,8,2021,1,0
9/3/21,9,2021,1,0
9/3/21,10,2021,1,0
9/3/21,11,2021,1,0
9/3/21,12,2021,1,0
9/3/21,13,2021,1,0
9/3/21,14,2021,1,0
9/3/21,15,2021,1,0
9/3/21,16,2021,1,0
9/3/21,17,2021,1,0
9/3/21,18,2021,1,0
9/3/21,19,2021,1,0
9/3/21,20,2021,1,0
9/3/21,21,2021,1,0
9/3/21,22,2021,1,0
9/3/21,23,2021,1,0
9/4/21,0,2021,1,0
9/4/21,1,2021,1,0
9/4/21,2,2021,1,0
9/4/21,3,2021,1,0
9/4/21,4,2021,1,0
9/4/21,5,2021,1,0
9/4/21,6,2021,1,0
9/4/21,7,2021,1,0
9/4/21,8,2021,1,0
9/4/21,9,2021,1,1
9/4/21,10,2021,1,1
9/4/21,11,2021,1,0
9/4/21,12,2021,1,0
9/4/21,13,2021,1,0
9/4/21,14,2021,1,0
9/4/21,15,2021,1,0
9/4/21,16,2021,1,0
9/4/21,17,2021,1,0
9/4/21,18,2021,1,0
9/4/21,19,2021,1,0
9/4/21,20,2021,1,0
9/4/21,21,2021,1,0
9/4/21,22,2021,1,0
9/4/21,23,2021,1,0
9/5/21,0,2021,1,0
9/5/21,1,2021,1,0
9/5/21,2,2021,1,0
9/5/21,3,2021,1,0
9/5/21,4,2021,1,0
9/5/21,5,2021,1,0
9/5/21,6,2021,1,0
9/5/21,7,2021,1,0
9/5/21,8,2021,1,0
9/5/21,9,2021,1,0
9/5/21,10,2021,1,0
9/5/21,11,2021,1,0
9/5/21,12,2021,0,1
9/5/21,13,2021,1,0
9/5/21,14,2021,1,0
9/5/21,15,2021,1,0
9/5/21,16,2021,1,0
9/5/21,17,2021,1,0
9/5/21,18,2021,1,0
9/5/21,19,2021,1,0
9/5/21,20,2021,1,0
9/5/21,21,2021,1,0
9/5/21,22,2021,1,0
9/5/21,23,2021,1,0
9/5/21,0,2021,1,0
9/5/21,1,2021,1,0
9/5/21,2,2021,1,0
9/5/21,3,2021,1,0
9/5/21,4,2021,1,0
9/5/21,5,2021,1,0
9/5/21,6,2021,1,0
9/6/21,7,2021,1,0
9/6/21,8,2021,1,0
9/6/21,9,2021,1,1
9/6/21,10,2021,1,0
9/6/21,11,2021,1,0
9/6/21,12,2021,1,0
9/6/21,13,2021,1,0
9/6/21,14,2021,1,0
9/6/21,15,2021,1,0
9/6/21,16,2021,1,0
9/6/21,17,2021,1,0
9/6/21,18,2021,1,0
9/6/21,19,2021,1,0
9/6/21,20,2021,1,0
9/6/21,21,2021,1,0
9/6/21,22,2021,1,0
9/6/21,23,2021,1,0
9/7/21,0,2021,1,0
9/7/21,1,2021,1,0
9/7/21,2,2021,1,0
9/7/21,3,2021,1,0
9/7/21,4,2021,1,0
9/7/21,5,2021,1,0
9/7/21,6,2021,1,0
9/7/21,7,2021,1,0
9/7/21,8,2021,1,0
9/7/21,9,2021,1,0
9/7/21,10,2021,1,0
9/7/21,11,2021,1,0
9/7/21,12,2021,1,0
9/7/21,13,2021,1,1
9/7/21,14,2021,0,0
9/7/21,15,2021,1,0
9/7/21,16,2021,1,1
9/7/21,17,2021,1,0
9/7/21,18,2021,1,0
9/7/21,19,2021,1,0
9/7/21,20,2021,1,0
9/7/21,21,2021,1,0
9/7/21,22,2021,1,0
9/7/21,23,2021,1,0
9/8/21,0,2021,1,0
9/8/21,1,2021,1,0
9/8/21,2,2021,1,0
9/8/21,3,2021,1,0
9/8/21,4,2021,1,0
9/8/21,5,2021,1,0
9/8/21,6,2021,1,0
9/8/21,7,2021,1,0
9/8/21,8,2021,1,0
9/8/21,9,2021,1,1
9/8/21,10,2021,1,0
9/8/21,11,2021,1,0
9/8/21,12,2021,1,1
9/8/21,13,2021,1,0
9/8/21,14,2021,1,0
9/8/21,15,2021,1,0
9/8/21,16,2021,1,0
9/8/21,17,2021,1,0
9/8/21,18,2021,1,0
9/8/21,19,2021,1,0
9/8/21,20,2021,1,0
9/8/21,21,2021,1,0
9/8/21,22,2021,1,0
9/8/21,23,2021,1,0
9/9/21,0,2021,0,0
9/9/21,1,2021,1,0
9/9/21,2,2021,1,0
9/9/21,3,2021,1,0
9/9/21,4,2021,1,0
9/9/21,5,2021,1,0
9/9/21,6,2021,1,0
9/9/21,7,2021,1,0
9/9/21,8,2021,1,0
9/9/21,9,2021,1,0
9/9/21,10,2021,1,1
9/9/21,11,2021,1,0
9/9/21,12,2021,1,0
9/9/21,13,2021,1,0
9/9/21,14,2021,1,0
9/9/21,15,2021,1,0
9/9/21,16,2021,1,0
9/9/21,17,2021,1,0
9/9/21,18,2021,1,0
9/9/21,19,2021,1,0
9/9/21,20,2021,1,0
9/9/21,21,2021,1,0
9/9/21,22,2021,1,0
9/9/21,23,2021,1,0
9/10/21,0,2021,1,0
9/10/21,1,2021,1,0
9/10/21,2,2021,1,0
9/10/21,3,2021,1,0
9/10/21,4,2021,1,0
9/10/21,5,2021,1,0
9/10/21,6,2021,1,0
9/10/21,7,2021,1,0
9/10/21,8,2021,1,0
9/10/21,9,2021,1,0
9/10/21,10,2021,1,0
9/10/21,11,2021,1,1
9/10/21,12,2021,1,0
9/10/21,13,2021,1,0
9/10/21,14,2021,1,0
9/10/21,15,2021,1,0
9/10/21,16,2021,1,0
9/10/21,17,2021,1,0
9/10/21,18,2021,1,0
9/10/21,19,2021,1,0
9/10/21,20,2021,1,0
9/10/21,21,2021,1,0
9/10/21,22,2021,1,0
9/10/21,23,2021,1,0
9/11/21,0,2021,1,0
9/11/21,1,2021,1,0
9/11/21,2,2021,1,0
9/11/21,3,2021,1,0
9/11/21,4,2021,1,0
9/11/21,5,2021,1,0
9/11/21,6,2021,1,0
9/11/21,7,2021,1,0
9/11/21,8,2021,1,0
9/11/21,9,2021,1,0
9/11/21,10,2021,1,0
9/11/21,11,2021,1,1
9/11/21,12,2021,1,0
9/11/21,13,2021,1,0
9/11/21,14,2021,1,0
9/11/21,15,2021,1,0
9/11/21,16,2021,1,0
9/11/21,17,2021,1,0
9/11/21,18,2021,1,0
9/11/21,19,2021,1,0
9/11/21,20,2021,1,0
9/11/21,21,2021,1,0
9/11/21,22,2021,1,0
9/11/21,23,2021,1,0
9/12/21,0,2021,1,0
9/12/21,1,2021,1,0
9/12/21,2,2021,1,0
9/12/21,3,2021,1,0
9/12/21,4,2021,1,0
9/12/21,5,2021,1,0
9/12/21,6,2021,1,0
9/12/21,7,2021,1,0
9/12/21,8,2021,1,0
9/12/21,9,2021,1,0
9/12/21,10,2021,1,1
9/12/21,11,2021,1,1
9/12/21,12,2021,1,1
9/12/21,13,2021,1,1
9/12/21,14,2021,1,0
9/12/21,15,2021,1,0
9/12/21,16,2021,1,0
9/12/21,17,2021,1,0
9/12/21,18,2021,1,0
9/12/21,19,2021,1,0
9/12/21,20,2021,1,0
9/12/21,21,2021,1,0
9/12/21,22,2021,1,0
9/12/21,23,2021,1,0
9/13/21,0,2021,1,0
9/13/21,1,2021,1,0
9/13/21,2,2021,1,0
9/13/21,3,2021,1,0
9/13/21,4,2021,1,0
9/13/21,5,2021,1,0
9/13/21,6,2021,1,0
9/13/21,7,2021,1,0
9/13/21,8,2021,1,0
9/13/21,9,2021,1,1
9/13/21,10,2021,1,0
9/13/21,11,2021,1,1
9/13/21,12,2021,1,0
9/13/21,13,2021,1,0
9/13/21,14,2021,1,0
9/13/21,15,2021,1,0
9/13/21,16,2021,1,0
9/13/21,17,2021,1,0
9/13/21,18,2021,1,0
9/13/21,19,2021,1,0
9/13/21,20,2021,1,0
9/13/21,21,2021,1,0
9/13/21,22,2021,1,0
9/13/21,23,2021,1,0
9/14/21,0,2021,1,0
9/14/21,1,2021,1,0
9/14/21,2,2021,1,0
9/14/21,3,2021,1,0
9/14/21,4,2021,1,0
9/14/21,5,2021,1,0
9/14/21,6,2021,1,0
9/14/21,7,2021,1,0
9/14/21,8,2021,1,0
9/14/21,9,2021,1,1
9/14/21,10,2021,1,1
9/14/21,11,2021,1,1
9/14/21,12,2021,1,0
9/14/21,13,2021,1,0
9/14/21,14,2021,1,0
9/14/21,15,2021,1,0
9/14/21,16,2021,1,0
9/14/21,17,2021,1,0
9/14/21,18,2021,1,0
9/14/21,19,2021,1,0
9/14/21,20,2021,1,0
9/14/21,21,2021,1,0
9/14/21,22,2021,1,0
9/14/21,23,2021,1,0
9/15/21,0,2021,1,0
9/15/21,1,2021,1,0
9/15/21,2,2021,1,0
9/15/21,3,2021,1,0
9/15/21,4,2021,1,0
9/15/21,5,2021,1,0
9/15/21,6,2021,1,0
9/15/21,7,2021,1,0
9/15/21,8,2021,1,0
9/15/21,9,2021,1,0
9/15/21,10,2021,1,0
9/15/21,11,2021,1,0
9/15/21,12,2021,1,0
9/15/21,13,2021,1,0
9/15/21,14,2021,1,0
9/15/21,15,2021,1,0
9/15/21,16,2021,1,0
9/15/21,17,2021,1,0
9/15/21,18,2021,1,0
9/15/21,19,2021,1,0
9/15/21,20,2021,1,0
9/15/21,21,2021,1,0
9/15/21,22,2021,1,0
9/15/21,23,2021,1,0
9/16/21,0,2021,1,0
9/16/21,1,2021,1,0
9/16/21,2,2021,1,0
9/16/21,3,2021,1,0
9/16/21,4,2021,1,0
9/16/21,5,2021,1,0
9/16/21,6,2021,1,0
9/16/21,7,2021,1,0
9/16/21,8,2021,1,0
9/16/21,9,2021,0,0
9/16/21,10,2021,0,0
9/16/21,11,2021,1,0
9/16/21,12,2021,1,0
9/16/21,13,2021,1,0
9/16/21,14,2021,1,0
9/16/21,15,2021,1,0
9/16/21,16,2021,1,0
9/16/21,17,2021,1,0
9/16/21,18,2021,1,0
9/16/21,19,2021,1,0
9/16/21,20,2021,1,0
9/16/21,21,2021,1,0
9/16/21,22,2021,1,0
9/16/21,23,2021,1,0
9/17/21,0,2021,1,0
9/17/21,1,2021,1,0
9/17/21,2,2021,1,0
9/17/21,3,2021,1,0
9/17/21,4,2021,1,0
9/17/21,5,2021,1,0
9/17/21,6,2021,1,0
9/17/21,7,2021,1,0
9/17/21,8,2021,1,0
9/17/21,9,2021,1,0
9/17/21,10,2021,1,0
9/17/21,11,2021,1,0
9/17/21,12,2021,1,0
9/17/21,13,2021,1,0
9/17/21,14,2021,1,0
9/17/21,15,2021,1,0
9/17/21,16,2021,1,0
9/17/21,17,2021,0,0
9/17/21,18,2021,1,0
9/17/21,19,2021,1,0
9/17/21,20,2021,1,0
9/17/21,21,2021,1,0
9/17/21,22,2021,1,0
9/17/21,23,2021,1,0
9/18/20,0,2021,1,0
9/18/20,1,2021,1,0
9/18/20,2,2021,1,0
9/18/20,3,2021,1,0
9/18/20,4,2021,1,0
9/18/20,5,2021,1,0
9/18/20,6,2021,1,0
9/18/20,7,2021,1,0
9/18/20,8,2021,1,0
9/18/20,9,2021,1,0
9/18/20,10,2021,1,0
9/18/20,11,2021,1,0
9/18/20,12,2021,1,0
9/18/20,13,2021,1,0
9/18/20,14,2021,1,0
9/18/20,15,2021,1,0
9/18/20,16,2021,1,0
9/18/20,17,2021,1,0
9/18/20,18,2021,1,0
9/18/20,19,2021,1,0
9/18/20,20,2021,1,0
9/18/20,21,2021,1,0
9/18/20,22,2021,1,0
9/18/20,23,2021,1,0
9/19/20,0,2021,1,0
9/19/20,1,2021,1,0
9/19/20,2,2021,1,0
9/19/20,3,2021,1,0
9/19/20,4,2021,1,0
9/19/20,5,2021,1,0
9/19/20,6,2021,1,0
9/19/20,7,2021,1,0
9/19/20,8,2021,1,0
9/19/20,9,2021,1,0
9/19/20,10,2021,1,0
9/19/20,11,2021,0,1
9/19/20,12,2021,1,1
9/19/20,13,2021,1,0
9/19/20,14,2021,1,0
9/19/20,15,2021,1,0
9/19/20,16,2021,1,0
9/19/20,17,2021,1,0
9/19/20,18,2021,1,0
9/19/20,19,2021,1,0
9/19/20,20,2021,1,0
9/19/20,21,2021,1,0
9/19/20,22,2021,1,0
9/19/20,23,2021,1,0
9/20/21,0,2021,1,0
9/20/21,1,2021,1,0
9/20/21,2,2021,1,0
9/20/21,3,2021,1,0
9/20/21,4,2021,1,0
9/20/21,5,2021,1,0
9/20/21,6,2021,1,0
9/20/21,7,2021,1,0
9/20/21,8,2021,0,0
9/20/21,9,2021,0,0
9/20/21,10,2021,0,0
9/20/21,11,2021,0,1
9/20/21,12,2021,1,0
9/20/21,13,2021,1,0
9/20/21,14,2021,1,0
9/20/21,15,2021,1,0
9/20/21,16,2021,1,0
9/20/21,17,2021,1,0
9/20/21,18,2021,1,0
9/20/21,19,2021,1,0
9/20/21,20,2021,1,0
9/20/21,21,2021,1,0
9/20/21,22,2021,1,0
9/20/21,23,2021,1,0
9/21/21,0,2021,1,0
9/21/21,1,2021,1,0
9/21/21,2,2021,1,0
9/21/21,3,2021,1,0
9/21/21,4,2021,1,0
9/21/21,5,2021,1,0
9/21/21,6,2021,1,0
9/21/21,7,2021,0,0
9/21/21,8,2021,0,0
9/21/21,9,2021,0,0
9/21/21,10,2021,1,1
9/21/21,11,2021,1,1
9/21/21,12,2021,1,1
9/21/21,13,2021,1,0
9/21/21,14,2021,1,0
9/21/21,15,2021,1,0
9/21/21,16,2021,1,0
9/21/21,17,2021,1,0
9/21/21,18,2021,1,0
9/21/21,19,2021,1,0
9/21/21,20,2021,1,0
9/21/21,21,2021,1,0
9/21/21,22,2021,1,0
9/21/21,23,2021,1,0
9/22/21,0,2021,1,0
9/22/21,1,2021,1,0
9/22/21,2,2021,1,0
9/22/21,3,2021,1,0
9/22/21,4,2021,1,0
9/22/21,5,2021,1,0
9/22/21,6,2021,1,0
9/22/21,7,2021,1,0
9/22/21,8,2021,1,1
9/22/21,9,2021,1,0
9/22/21,10,2021,1,0
9/22/21,11,2021,0,0
9/22/21,12,2021,1,0
9/22/21,13,2021,1,0
9/22/21,14,2021,0,0
9/22/21,15,2021,1,0
9/22/21,16,2021,0,0
9/22/21,17,2021,1,0
9/22/21,18,2021,1,0
9/22/21,19,2021,1,0
9/22/21,20,2021,1,0
9/22/21,21,2021,1,0
9/22/21,22,2021,1,0
9/22/21,23,2021,1,0
9/23/21,0,2021,1,0
9/23/21,1,2021,1,0
9/23/21,2,2021,1,0
9/23/21,3,2021,1,0
9/23/21,4,2021,1,0
9/23/21,5,2021,1,0
9/23/21,6,2021,1,0
9/23/21,7,2021,1,0
9/23/21,8,2021,0,0
9/23/21,9,2021,1,0
9/23/21,10,2021,0,0
9/23/21,11,2021,1,0
9/23/21,12,2021,1,0
9/23/21,13,2021,1,0
9/23/21,14,2021,1,0
9/23/21,15,2021,1,0
9/23/21,16,2021,1,0
9/23/21,17,2021,1,0
9/23/21,18,2021,1,0
9/23/21,19,2021,1,0
9/23/21,20,2021,1,0
9/23/21,21,2021,1,0
9/23/21,22,2021,1,0
9/23/21,23,2021,1,0
9/24/21,0,2021,1,0
9/24/21,1,2021,1,0
9/24/21,2,2021,1,0
9/24/21,3,2021,1,0
9/24/21,4,2021,1,0
9/24/21,5,2021,1,0
9/24/21,6,2021,1,0
9/24/21,7,2021,1,0
9/24/21,8,2021,1,0
9/24/21,9,2021,1,0
9/24/21,10,2021,1,0
9/24/21,11,2021,1,0
9/24/21,12,2021,1,0
9/24/21,13,2021,1,0
9/24/21,14,2021,1,0
9/24/21,15,2021,1,0
9/24/21,16,2021,1,0
9/24/21,17,2021,1,0
9/24/21,18,2021,1,0
9/24/21,19,2021,1,0
9/24/21,20,2021,1,0
9/24/21,21,2021,1,0
9/24/21,22,2021,1,0
9/24/21,23,2021,1,0
9/25/21,0,2021,1,0
9/25/21,1,2021,1,0
9/25/21,2,2021,1,0
9/25/21,3,2021,1,0
9/25/21,4,2021,1,0
9/25/21,5,2021,1,0
9/25/21,6,2021,1,0
9/25/21,7,2021,1,1
9/25/21,8,2021,1,0
9/25/21,9,2021,1,0
9/25/21,10,2021,1,0
9/25/21,11,2021,1,0
9/25/21,12,2021,1,0
9/25/21,13,2021,1,0
9/25/21,14,2021,1,0
9/25/21,15,2021,1,0
9/25/21,16,2021,1,0
9/25/21,17,2021,1,0
9/25/21,18,2021,1,0
9/25/21,19,2021,1,0
9/25/21,20,2021,1,0
9/25/21,21,2021,1,0
9/25/21,22,2021,1,0
9/25/21,23,2021,1,0
9/26/21,0,2021,1,0
9/26/21,1,2021,1,0
9/26/21,2,2021,1,0
9/26/21,3,2021,1,0
9/26/21,4,2021,1,0
9/26/21,5,2021,1,0
9/26/21,6,2021,1,0
9/26/21,7,2021,1,0
9/26/21,8,2021,1,0
9/26/21,9,2021,1,1
9/26/21,10,2021,1,0
9/26/21,11,2021,1,0
9/26/21,12,2021,1,0
9/26/21,13,2021,1,0
9/26/21,14,2021,1,0
9/26/21,15,2021,1,0
9/26/21,16,2021,1,0
9/26/21,17,2021,1,0
9/26/21,18,2021,1,0
9/26/21,19,2021,1,0
9/26/21,20,2021,1,0
9/26/21,21,2021,1,0
9/26/21,22,2021,1,0
9/26/21,23,2021,1,0
9/27/21,0,2021,1,0
9/27/21,1,2021,1,0
9/27/21,2,2021,1,0
9/27/21,3,2021,1,0
9/27/21,4,2021,1,0
9/27/21,5,2021,1,0
9/27/21,6,2021,1,0
9/27/21,7,2021,1,0
9/27/21,8,2021,1,0
9/27/21,9,2021,1,0
9/27/21,10,2021,1,0
9/27/21,11,2021,1,0
9/27/21,12,2021,1,0
9/27/21,13,2021,1,0
9/27/21,14,2021,1,0
9/27/21,15,2021,1,0
9/27/21,16,2021,1,0
9/27/21,17,2021,1,0
9/27/21,18,2021,1,0
9/27/21,19,2021,1,0
9/27/21,20,2021,1,0
9/27/21,21,2021,1,0
9/27/21,22,2021,1,0
9/27/21,23,2021,1,0
9/28/21,0,2021,1,0
9/28/21,1,2021,1,0
9/28/21,2,2021,1,0
9/28/21,3,2021,1,0
9/28/21,4,2021,1,0
9/28/21,5,2021,1,0
9/28/21,6,2021,1,0
9/28/21,7,2021,1,0
9/28/21,8,2021,1,0
9/28/21,9,2021,1,1
9/28/21,10,2021,1,0
9/28/21,11,2021,1,0
9/28/21,12,2021,1,0
9/28/21,13,2021,1,0
9/28/21,14,2021,1,0
9/28/21,15,2021,1,0
9/28/21,16,2021,1,0
9/28/21,17,2021,1,0
9/28/21,18,2021,1,0
9/28/21,19,2021,1,0
9/28/21,20,2021,1,0
9/28/21,21,2021,1,0
9/28/21,22,2021,1,0
9/28/21,23,2021,1,0
9/29/21,0,2021,1,0
9/29/21,1,2021,1,0
9/29/21,2,2021,1,0
9/29/21,3,2021,1,0
9/29/21,4,2021,1,0
9/29/21,5,2021,1,0
9/29/21,6,2021,1,0
9/29/21,7,2021,1,0
9/29/21,8,2021,1,0
9/29/21,9,2021,1,0
9/29/21,10,2021,1,0
9/29/21,11,2021,1,0
9/29/21,12,2021,1,0
9/29/21,13,2021,1,0
9/29/21,14,2021,1,0
9/29/21,15,2021,1,0
9/29/21,16,2021,1,0
9/29/21,17,2021,1,0
9/29/21,18,2021,1,0
9/29/21,19,2021,1,0
9/29/21,20,2021,1,0
9/29/21,21,2021,1,0
9/29/21,22,2021,1,0
9/29/21,23,2021,1,0
9/30/21,0,2021,1,0
9/30/21,1,2021,1,0
9/30/21,2,2021,1,0
9/30/21,3,2021,1,0
9/30/21,4,2021,1,0
9/30/21,5,2021,1,0
9/30/21,6,2021,1,0
9/30/21,7,2021,1,0
9/30/21,8,2021,1,0
9/30/21,9,2021,0,1
9/30/21,10,2021,1,0
9/30/21,11,2021,1,0
9/30/21,12,2021,1,0
9/30/21,13,2021,1,0
9/30/21,14,2021,1,0
9/30/21,15,2021,1,0
9/30/21,16,2021,1,0
9/30/21,17,2021,1,0
9/30/21,18,2021,1,0
9/30/21,19,2021,1,0
9/30/21,20,2021,1,0
9/30/21,21,2021,1,0
9/30/21,22,2021,1,0
9/30/21,23,2021,1,0

